name,occurrences_new
Carduus nutans var. macrocephalus,20
Carduus pycnocephalus,13900
Carduus thoermeri,339
Carex acuta,113954
Carex allegheniensis,23
Carex curta,12152
Carex debilis,799
Carex debilis subsp. pubera,6
Carex debilis subsp. rudgei,578
Carex debilis var. interjecta,3
Carex debilis var. pubera,6
Carex debilis var. rudgei,578
Carex debilis var. strictior,2
Carex flexuosa,1
Carex folliculata var. intumescens,974
Carex goodenowii,59
Carex intumescens,3499
Carex intumescens forma ventriosa,1
Carex intumescens var. fernaldii,180
Carex kobomugi,546
Carex lagopodioides,1
Carex leporina,134705
Carex livida,9872
Carex livida var. grayana,31
Carex livida var. radicaulis,21
Carex nigra,249391
Carex nigra var. strictiformis,18
Carex ovalis,45174
Carex tenuis,1
Carex tracyi,45
Carex tribuloides,1273
Carex tribuloides var. sangamonensis,62
Carex vulgaris,1
Carlina vulgaris,88341
Carludovica palmata,770
Carpobrotus quadrifidus,45
Carum bulbocastanum,1
Cascabela peruviana,3
Cascabela thevetia,3087
Cassia bicapsularis,120
Cassia didymobotrya,98
Cassia emarginata,168
Cassia tora,681
Cassinia leptophylla,6
Castilla elastica,559
Castilla elastica ssp. costaricana,54
Castilla elastica ssp. elastica,76
Castilleja arvensis,1908
Catalpa longissima,107
Cathartolinum virginianum,3
Caucalis hispanica,1
Caucalis latifolia,73
Caulerpa racemosa var. cylindracea,12
Caulerpa taxifolia,1256
Cecropia peltata,3416
Cedrela odorata,9339
Celastrus orbiculatus,8240
Celosia argentea,13978
Celosia argentea forma cristata,89
Celosia argentea var. argentea,60
Celosia argentea var. cristata,89
Celosia argentea var. plumosa,8
Celosia argentea var. pyramidalis,13978
Celosia argentea var. vera,13978
Celosia cristata,240
Cenchrus barbatus,4
Cenchrus biflorus,5398
Centaurea cheiranthifolia,106
Centaurea debauxii,4
Centaurea debeauxii,2282
Centaurea diffusa,3581
Centaurea iberica,1034
Centaurea macrocephala,255
Centaurea melitensis,15388
Centaurea napifolia,206
Centaurea nicaeensis,80
Centaurea pannonica,876
Centaurea picris,8
Centaurea ragusina,22
Centaurea repens,274
Centaurea salicifolia,16
Centaurea salonitana,207
Centaurea stoebe subsp. micranthos,612
Centaurea virgata,402
Centotheca malabarica,2
Centranthus longiflorus,52
Centrosema pubescens,3407
Cephaleuros virescens,31
Cephalophilon capitatum,1
Cerastium aquaticum,4
Cerastium ligusticum,366
Cerastium perfoliatum,135
Ceratocephala falcata,1090
Ceratocephala orthoceras,109
Ceratocephala testiculata,731
Ceratochloa breviaristata,1
Ceratochloa cathartica,2863
Ceratochloa festucoides,2
Ceratochloa sitchensis,712
Ceratochloa unioloides,6
Ceratochloa willdenowii,6
Ceratophyllum pentacanthum,1
Cestrum nocturnum,2305
Cestrum nocturnum var. mexicanum,2
Chaetotropis chilensis,13
Chaetotropis elongata,64
Chaetotropis imberbis,1
Chamaecytisus albus,207
Chamaesyce canescens,112
Chamaesyce canescens ssp. massiliensis,2
Chamaesyce chamaesyce,3
Chamaesyce glomerifera,25
Chamaesyce glyptosperma,394
Chamaesyce glyptosperma var. integrata,1
Chamaesyce humistrata,25
Chamaesyce hypericifolia,338
Chamaesyce lasiocarpa,211
Chamaesyce maculata,3143
Chamaesyce mathewsii,2
Chamaesyce supina,14
Chamaesyce tracyi,1
Chamaesyce vulgaris,111
Chamagrostis minima,3
Chamomilla chamomilla,20
Chamomilla recutita,824
Chamomilla suaveolens,2245
Chartolepis glastifolia,9
Chenopodium acerifolium,135
Chenopodium album,281660
Chenopodium album forma cymigerum,25
Chenopodium album forma glomerulosum,16
Chenopodium album forma grandifolium,281660
Chenopodium album forma lanceolatum,28
Chenopodium album forma linneanum,281660
Chenopodium album forma spicatum,31
Chenopodium album forma viridiforme,281660
Chenopodium album ssp. album,16487
Chenopodium album subforma corymbosodentatum,281660
Chenopodium album subforma corymbosolanceolatum,281660
Chenopodium album subforma cymigerum,25
Chenopodium album subforma glomerulosum,16
Chenopodium album subforma medium,281660
Chenopodium album subforma paucidens,281660
Chenopodium album subforma thyrsoideum,281660
Chenopodium album subsp. eualbum,281660
Chenopodium album subsp. lanceolatum,28
Chenopodium album subvar. cymigerum,25
Chenopodium album var. albofarinosum,281660
Chenopodium album var. album,16487
Chenopodium album var. borbasii,75
Chenopodium album var. candicans,1
Chenopodium album var. centrorubrum,691
Chenopodium album var. commune,281660
Chenopodium album var. cymigerum,25
Chenopodium album var. eualbum,281660
Chenopodium album var. glomerulosum,16
Chenopodium album var. integrum,281660
Chenopodium album var. lanceolatum,28
Chenopodium album var. melanocarpum,281660
Chenopodium album var. microphyllum,68
Chenopodium album var. missouriense,120
Chenopodium album var. myriostachyum,281660
Chenopodium album var. paniculatum,281660
Chenopodium album var. spicatum,31
Chenopodium album var. stevensii,3
Chenopodium album var. striatum,7
Chenopodium album var. typicum,281660
Chenopodium album var. viride,11
Chenopodium album var. vulgare,281660
Chenopodium amaranticolor,19
Chenopodium aristatum,309
Chenopodium borbasii,11
Chenopodium botrys,2159
Chenopodium carinatum,145
Chenopodium giganteum,436
Chenopodium glaucophyllum,16
Chenopodium glaucum,15008
Chenopodium glaucum subsp. salinum,133
Chenopodium glaucum var. salinum,133
Chenopodium lanceolatum,20
Chenopodium missouriense,523
Chenopodium paganum,10
