species,sub_tsn,acc_tsn,syn_author,syn_name,syn_tsn,acc_name,acc_author
Echinodorus grisebachii,NA,NA,NA,NA,NA,NA,NA
Echinodorus horizontalis,NA,NA,NA,NA,NA,NA,NA
Echinodorus scaber,NA,NA,NA,NA,NA,NA,NA
Echinodorus uruguayensis,NA,NA,NA,NA,NA,NA,NA
Echium arenarium,NA,NA,NA,NA,NA,NA,NA
Elatine hungarica,NA,NA,NA,NA,NA,NA,NA
Eleocharis bonariensis,NA,NA,NA,NA,NA,NA,NA
Elymus scabrus,NA,NA,NA,NA,NA,NA,NA
Enarthrocarpus clavatus,NA,NA,NA,NA,NA,NA,NA
Epilobium brunnescens,NA,NA,NA,NA,NA,NA,NA
Erechtites valerianifolius,NA,NA,NA,NA,NA,NA,NA
Erepsia heteropetala,NA,NA,NA,NA,NA,NA,NA
Eriocaulon setaceum,NA,NA,NA,NA,NA,NA,NA
Eriocephalus africanus,NA,NA,NA,NA,NA,NA,NA
Eriolobus trilobatus,NA,NA,NA,NA,NA,NA,NA
Erodium hoefftianum,NA,NA,NA,NA,NA,NA,NA
Eryngium tricuspidatum,NA,NA,NA,NA,NA,NA,NA
Erysimum canum,NA,NA,NA,NA,NA,NA,NA
Erysimum hungaricum,NA,NA,NA,NA,NA,NA,NA
Euphrasia fennica,NA,NA,NA,NA,NA,NA,NA
Euphrasia vernalis,NA,NA,NA,NA,NA,NA,NA
Farfugium japonicum,NA,NA,NA,NA,NA,NA,NA
Fascicularia bicolor,NA,NA,NA,NA,NA,NA,NA
Fedia cornucopiae,NA,NA,NA,NA,NA,NA,NA
Ferulago galbanifera,NA,NA,NA,NA,NA,NA,NA
Ferulago sylvatica,NA,NA,NA,NA,NA,NA,NA
Fimbristylis bisumbellata,NA,NA,NA,NA,NA,NA,NA
Flemingia lineata,NA,NA,NA,NA,NA,NA,NA
Flemingia macrophylla,NA,NA,NA,NA,NA,NA,NA
Fragaria viridis,NA,NA,NA,NA,NA,NA,NA
Frankenia laevis,NA,NA,NA,NA,NA,NA,NA
Fuchsia coccinea,NA,NA,NA,NA,NA,NA,NA
Fumaria agraria,NA,NA,NA,NA,NA,NA,NA
