Name,Accepted name,Climate match,Naturalized in FL,FL noxious weed list,Federal noxious weed list,Naturalized somewhere,Weedy history,Global occurrences
Oglifa arvensis,Logfia arvensis,yes,no,no,no,yes,yes,3
Filago gallica,Logfia gallica,yes,no,no,no,yes,yes,4866
Logfia gallica,Logfia gallica,yes,no,no,no,yes,yes,10973
Oglifa gallica,Logfia gallica,yes,no,no,no,yes,yes,5
Filago minima,Logfia minima,yes,no,no,no,yes,yes,6258
Filago minima,Logfia minima,yes,no,no,no,yes,yes,6258
Logfia minima,Logfia minima,yes,no,no,no,yes,yes,35678
Oglifa minima,Logfia minima,yes,no,no,no,yes,yes,0
Festuca anglica,Lolium perenne,yes,yes,no,no,yes,yes,0
Festuca italica,Lolium perenne,yes,yes,no,no,yes,yes,0
Festuca perennis,Lolium perenne,yes,yes,no,no,yes,yes,437
Lolium aristatum,Lolium perenne,yes,yes,no,no,yes,yes,5
Lolium boucheanum,Lolium perenne,yes,yes,no,no,yes,yes,1567
Lolium brasilianum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium brasilianum forma aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium brasilianum forma muticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium compositum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium felix,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium gaudinii,Lolium perenne,yes,yes,no,no,yes,yes,2
Lolium gaudinii var. aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium gaudinii var. breviaristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium gaudinii var. longiaristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium gaudinii var. muticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium gaudinii var. pumilum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium grossum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium halleri,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium italicum,Lolium perenne,yes,yes,no,no,yes,yes,14
Lolium italicum forma pedunculatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium italicum var. aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium italicum var. brachypodiatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium italicum var. muticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium italicum var. submuticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium marschallii,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum,Lolium perenne,yes,yes,no,no,yes,yes,66690
Lolium multiflorum forma anatherum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma brachyatherum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma compositum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma cristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma distachyum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma longiaristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma macratherum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma microstachyum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma muticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma paleaceum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma rubescens,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum forma submuticum,Lolium perenne,yes,yes,no,no,yes,yes,5
Lolium multiflorum subsp. Gaudinii,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum subsp. italicum,Lolium perenne,yes,yes,no,no,yes,yes,2
Lolium multiflorum subsp. italicum,Lolium perenne,yes,yes,no,no,yes,yes,2
Lolium multiflorum subsp. westerwoldicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum subvar. cristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum subvar. gaudinii,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum subvar. macrostachyum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum subvar. microstachyum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum subvar. muticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum subvar. typicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. boucheanum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. brachypodiatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. complanatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. compositum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. crassispicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. decompositum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. diminutum,Lolium perenne,yes,yes,no,no,yes,yes,7
Lolium multiflorum var. excelsum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. gaudinii,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. italicum,Lolium perenne,yes,yes,no,no,yes,yes,4
Lolium multiflorum var. italicum,Lolium perenne,yes,yes,no,no,yes,yes,4
Lolium multiflorum var. laeviculme,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. latifolium,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. longearistatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. longiaristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. muticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. perennans,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. pumilum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. scabrum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. siculum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. subaristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. submuticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. typicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium multiflorum var. westerwoldicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne,Lolium perenne,yes,yes,no,no,yes,yes,499521
Lolium perenne forma anomala,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma aristulatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma compactum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma compositum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma cristatum,Lolium perenne,yes,yes,no,no,yes,yes,14
Lolium perenne forma longiglume,Lolium perenne,yes,yes,no,no,yes,yes,1
Lolium perenne forma orgiale,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma paleaceum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma pauciflorum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma prostratum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma siculum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma typicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne forma viviparum,Lolium perenne,yes,yes,no,no,yes,yes,1
Lolium perenne subsp. boucheanum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne subsp. italicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne subsp. multiflorum,Lolium perenne,yes,yes,no,no,yes,yes,146
Lolium perenne subsp. multiflorum,Lolium perenne,yes,yes,no,no,yes,yes,146
Lolium perenne subsp. stoloniferum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne subvar. aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne subvar. aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne subvar. compressum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne subvar. cristatum,Lolium perenne,yes,yes,no,no,yes,yes,14
Lolium perenne subvar. polyanthum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne subvar. ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne subvar. tenue,Lolium perenne,yes,yes,no,no,yes,yes,4
Lolium perenne var. angustifolium,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. aristulatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. auriculatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. brasilianum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. commune,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. compactum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. compositum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. compressum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. condensatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. confertum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. cristatum,Lolium perenne,yes,yes,no,no,yes,yes,14
Lolium perenne var. festuciforme,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. furcatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. gaudinii,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. geminatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. geniculatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. glomeratum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. humile,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. italicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. laxiusculum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. longiglume,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. marschallii,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. monstrosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. multiflorum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. multiflorum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. obtusiflorum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. orgiale,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. paleaceum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. paniculatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. pauciflorum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. planellae,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. polyanthum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. purpurascens,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. racemosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. reptans,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. russellianum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. scabriculme,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. secundum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. siculum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. speirostachyum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. sphaerostachyum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. spicatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. stoloniferum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. submuticum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. subsecundum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. tenue,Lolium perenne,yes,yes,no,no,yes,yes,4
Lolium perenne var. typicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. viviparum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. vulgare,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne var. whitworthiensis,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium rieffelianum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium rigidum var. compressum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium rigidum var. corsicum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium rigidum var. perenne,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium scabrum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium siculum,Lolium perenne,yes,yes,no,no,yes,yes,3
Lolium siculum forma aristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium siculum var. cristatum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium siculum var. ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium strictum var. compressum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium temulentum forma glaberrimum,Lolium perenne,yes,yes,no,no,yes,yes,1
Lolium temulentum var. multiflorum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium temulentum var. ramosum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium tenue,Lolium perenne,yes,yes,no,no,yes,yes,1
Lolium trabutii,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium Xhybridum,Lolium perenne,yes,yes,no,no,yes,yes,0
Lolium perenne ssp. multiflorum,Lolium perenne ssp. multiflorum,no,no,no,no,no,no,146
Lolium perenne ssp. multiflorum,Lolium perenne ssp. multiflorum,no,no,no,no,no,no,146
Lolium rigidum,Lolium rigidum,yes,no,no,no,yes,yes,28232
Lonchocarpus domingensis,Lonchocarpus domingensis,no,no,no,no,no,no,19
Lonchocarpus sericeus,Lonchocarpus sericeus,yes,no,no,no,yes,yes,3682
Loncomelos pyrenaicum,Loncomelos pyrenaicum,no,no,no,no,no,no,9
Loncomelos pyrenaicum,Loncomelos pyrenaicum,no,no,no,no,no,no,9
Lonicera alpigena,Lonicera alpigena,no,no,no,no,yes,yes,15012
Lonicera confusa,Lonicera confusa,yes,no,no,no,yes,no,99
Lonicera maackii,Lonicera maackii,yes,no,no,no,yes,yes,3344
Lonicera morrowii,Lonicera morrowii,yes,no,no,no,no,yes,1054
Lonicera standishii,Lonicera standishii,yes,no,no,no,yes,yes,33
Lonicera tatarica var. morrowii,Lonicera tatarica var. morrowii,no,no,no,no,yes,no,4
Lonicera webbiana,Lonicera webbiana,no,no,no,no,no,no,500
Lopezia racemosa,Lopezia racemosa,no,no,no,no,no,yes,1805
Lotus biflorus,Lotus biflorus,yes,no,no,no,no,no,14
Lotus cytisoides,Lotus cytisoides,yes,no,no,no,no,yes,2287
Lotus drepanocarpus,Lotus drepanocarpus,yes,no,no,no,yes,yes,11
Lotus hispidus,Lotus parviflorus,no,no,no,no,yes,yes,3197
Lotus parviflorus,Lotus parviflorus,no,no,no,no,yes,yes,2951
Isnardia alternifolia,Ludwigia alternifolia,no,yes,no,no,yes,yes,0
Isnardia alternifolia var. salicifolia,Ludwigia alternifolia,no,yes,no,no,yes,yes,0
Isnardia aurantiaca,Ludwigia alternifolia,no,yes,no,no,yes,yes,0
Ludwigia alternifolia,Ludwigia alternifolia,no,yes,no,no,yes,yes,1030
Ludwigia alternifolia var. linearifolia,Ludwigia alternifolia,no,yes,no,no,yes,yes,16
Ludwigia alternifolia var. pubescens,Ludwigia alternifolia,no,yes,no,no,yes,yes,2
Ludwigia alternifolia var. typica,Ludwigia alternifolia,no,yes,no,no,yes,yes,2
Ludwigia angustifolia var. ramosissima,Ludwigia alternifolia,no,yes,no,no,yes,yes,0
Ludwigia aurantiaca,Ludwigia alternifolia,no,yes,no,no,yes,yes,0
Ludwigia macrocarpa,Ludwigia alternifolia,no,yes,no,no,yes,yes,0
Ludwigia ramosissima,Ludwigia alternifolia,no,yes,no,no,yes,yes,0
Ludwigia salicifolia,Ludwigia alternifolia,no,yes,no,no,yes,yes,1
Rhexia linearifolia,Ludwigia alternifolia,no,yes,no,no,yes,yes,0
Isnardia arcuata,Ludwigia arcuata,no,yes,no,no,no,no,0
Isnardia pedunculosa,Ludwigia arcuata,no,yes,no,no,no,no,0
Ludwigia arcuata,Ludwigia arcuata,no,yes,no,no,no,no,27
Ludwigia pedunculosa,Ludwigia arcuata,no,yes,no,no,no,no,0
Ludwigiantha arcuata,Ludwigia arcuata,no,yes,no,no,no,no,0
Ludwigia brevipes,Ludwigia brevipes,no,yes,no,no,yes,no,3
Ludwigiantha brevipes,Ludwigia brevipes,no,yes,no,no,yes,no,0
Isnardia cylindrica,Ludwigia glandulosa,no,yes,no,no,no,no,0
Jussiaea brachycarpa,Ludwigia glandulosa,no,yes,no,no,no,no,0
Jussiaea brachycarpa,Ludwigia glandulosa,no,yes,no,no,no,no,0
Ludwigia cylindrica,Ludwigia glandulosa,no,yes,no,no,no,no,0
Ludwigia glandulosa,Ludwigia glandulosa,no,yes,no,no,no,no,110
Ludwigia glandulosa var. typica,Ludwigia glandulosa,no,yes,no,no,no,no,0
Ludwigia heterophylla,Ludwigia glandulosa,no,yes,no,no,no,no,0
Ludwigia helminthorrhiza,Ludwigia helminthorrhiza,no,no,no,no,no,no,500
Ludwigia hyssopifolia,Ludwigia hyssopifolia,yes,no,no,no,yes,yes,2282
Ludwigia inclinata,Ludwigia inclinata,no,no,no,no,no,no,320
Ludwigia ovalis,Ludwigia ovalis,no,no,no,no,no,yes,166
Ludwigia perennis,Ludwigia perennis,yes,no,no,no,yes,yes,1391
Luffa acutangula,Luffa acutangula,yes,no,no,no,yes,yes,118
Lupinus gracilis,Lupinus perennis,yes,yes,no,no,yes,yes,0
Lupinus nuttallii,Lupinus perennis,yes,yes,no,no,yes,yes,9
Lupinus perennis,Lupinus perennis,yes,yes,no,no,yes,yes,1534
Lupinus perennis forma albiracemus,Lupinus perennis,yes,yes,no,no,yes,yes,2
Lupinus perennis forma bicolor,Lupinus perennis,yes,yes,no,no,yes,yes,2
Lupinus perennis forma leucanthus,Lupinus perennis,yes,yes,no,no,yes,yes,0
Lupinus perennis forma roseus,Lupinus perennis,yes,yes,no,no,yes,yes,0
Lupinus perennis subsp. gracilis,Lupinus perennis,yes,yes,no,no,yes,yes,4
Lupinus perennis var. austrinus,Lupinus perennis,yes,yes,no,no,yes,yes,0
Lupinus perennis var. gracilis,Lupinus perennis,yes,yes,no,no,yes,yes,0
Lupinus perennis var. occidentalis,Lupinus perennis,yes,yes,no,no,yes,yes,17
Lupinus plattensis,Lupinus plattensis,yes,no,no,no,no,yes,93
Lupinus polyphyllus,Lupinus polyphyllus,yes,no,no,no,yes,yes,111039
Luziola brasiliana,Luziola peruviana,yes,yes,no,no,yes,yes,24
Luziola divergens,Luziola peruviana,yes,yes,no,no,yes,yes,3
Luziola doelliana,Luziola peruviana,yes,yes,no,no,yes,yes,4
Luziola leiocarpa,Luziola peruviana,yes,yes,no,no,yes,yes,1
Luziola peruviana,Luziola peruviana,yes,yes,no,no,yes,yes,341
Luziola pittieri,Luziola peruviana,yes,yes,no,no,yes,yes,0
Milium natans,Luziola peruviana,yes,yes,no,no,yes,yes,0
Luziola spruceana,Luziola spruceana,no,no,no,no,no,yes,41
Luziola subintegra,Luziola subintegra,yes,yes,yes,no,yes,no,198
Luzula campestris,Luzula campestris,yes,no,no,no,yes,yes,277845
Luzula multiflora,Luzula multiflora,no,no,no,no,yes,yes,147663
Luzula campestris var. pallescens,Luzula pallescens,no,no,no,no,yes,yes,0
Luzula pallescens,Luzula pallescens,no,no,no,no,yes,yes,11477
Luzula pallidula,Luzula pallescens,no,no,no,no,yes,yes,25
Lycium ferocissimum,Lycium ferocissimum,yes,no,yes,yes,yes,yes,108908
Lycopus europaeus var. exaltatus,Lycopus europaeus var. exaltatus,no,no,no,no,no,no,0
Lycopus exaltatus,Lycopus exaltatus,no,no,no,no,no,yes,336
Lysichiton americanus,Lysichiton americanus,yes,no,no,no,yes,yes,5494
Lysichiton camtschatcensis,Lysichiton camtschatcensis,no,no,no,no,yes,yes,250
Anagallis arabica,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis,Lysimachia arvensis,yes,yes,no,no,yes,yes,66570
Anagallis arvensis forma azurea,Lysimachia arvensis,yes,yes,no,no,yes,yes,149
Anagallis arvensis forma azurea,Lysimachia arvensis,yes,yes,no,no,yes,yes,149
Anagallis arvensis forma caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis forma caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis forma caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis forma caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis forma phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,4
Anagallis arvensis forma phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,4
Anagallis arvensis forma phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,4
Anagallis arvensis forma phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,4
Anagallis arvensis forma phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,4
Anagallis arvensis forma purpurea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis subsp. latifolia,Lysimachia arvensis,yes,yes,no,no,yes,yes,60
Anagallis arvensis subsp. latifolia,Lysimachia arvensis,yes,yes,no,no,yes,yes,60
Anagallis arvensis subsp. micrantha,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis subsp. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis subsp. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis subsp. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis subsp. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis subsp. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,2
Anagallis arvensis var. caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis var. caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis var. caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis var. caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis var. latifolia,Lysimachia arvensis,yes,yes,no,no,yes,yes,5
Anagallis arvensis var. latifolia,Lysimachia arvensis,yes,yes,no,no,yes,yes,5
Anagallis arvensis var. micrantha,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis var. parviflora,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis arvensis var. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,19
Anagallis arvensis var. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,19
Anagallis arvensis var. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,19
Anagallis arvensis var. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,19
Anagallis arvensis var. phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,19
Anagallis arvensis var. purpurea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis caerulea var. carnea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis caerulea var. parviflora,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis hadidii,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis indica,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis jacquemontii,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis latifolia,Lysimachia arvensis,yes,yes,no,no,yes,yes,8
Anagallis mas,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis orientalis,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis parviflora,Lysimachia arvensis,yes,yes,no,no,yes,yes,9
Anagallis parviflora var. typica,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis phoenicea,Lysimachia arvensis,yes,yes,no,no,yes,yes,11
Anagallis platyphylla,Lysimachia arvensis,yes,yes,no,no,yes,yes,1
Anagallis pulchella,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis punctifolia,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis punctifolia var. caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis punctifolia var. quadrifolia,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis punctifolia var. rubra,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis punctifolia var. trifolia,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis repens,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis repens,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Anagallis verticillata,Lysimachia arvensis,yes,yes,no,no,yes,yes,0
Lysimachia arvensis,Lysimachia arvensis,yes,yes,no,no,yes,yes,217511
Lysimachia arvensis var. caerulea,Lysimachia arvensis,yes,yes,no,no,yes,yes,281
Lysimachia atropurpurea,Lysimachia atropurpurea,yes,no,no,no,no,yes,73
Lysimachia ciliata,Lysimachia ciliata,no,yes,no,no,yes,yes,3292
Lysimachia membranacea,Lysimachia ciliata,no,yes,no,no,yes,yes,0
Nummularia ciliata,Lysimachia ciliata,no,yes,no,no,yes,yes,0
Steironema ciliatum,Lysimachia ciliata,no,yes,no,no,yes,yes,28
Steironema ciliatum var. occidentale,Lysimachia ciliata,no,yes,no,no,yes,yes,0
Steironema longipedicellatum,Lysimachia ciliata,no,yes,no,no,yes,yes,0
Steironema membranaceum,Lysimachia ciliata,no,yes,no,no,yes,yes,0
Steironema pumilum,Lysimachia ciliata,no,yes,no,no,yes,yes,0
Steironema pumilum var. longipedicellatum,Lysimachia ciliata,no,yes,no,no,yes,yes,0
Lythrum borysthenicum,Lythrum borysthenicum,yes,no,no,no,yes,no,1512
Lythrum adsurgens,Lythrum hyssopifolia,yes,no,no,no,yes,yes,3
Lythrum hyssopifolia,Lythrum hyssopifolia,yes,no,no,no,yes,yes,23943
