name,occurrences
Caucalis daucus,0
Caucalis gingidium,0
Caucalis gummifera,0
Caucalis hispanica,0
Caucalis maritima,0
Caulis dubia var. raphanus,0
Caulis sinapiaster,0
Celosia argentea forma cristata,6
Celosia argentea var. cristata,94
Celosia argentea var. plumosa,6
Celosia argentea var. pyramidalis,0
Celosia argentea var. vera,0
Celosia aurea,0
Celosia castrensis,0
Celosia coccinea,0
Celosia comosa,0
Celosia cristata,330
Celosia margaritacea,0
Celosia pallida,0
Celosia pyramidalis,0
Celosia variegata,0
Centaurea maculosa subsp. micranthos,2
Centaurea micranthos,1
Centinodium agrestinum,0
Centinodium aviculare,0
Centinodium axillare,0
Centinodium humifusum,0
Centinodium rurivagum,0
Centrophorum chinense,0
Cephalophilon capitatum,1
Cephaloxys flabellata,0
Ceratochloa breviaristata,0
Ceratochloa cathartica,537
Ceratochloa haenkeana,0
Ceratochloa pendula,0
Ceratochloa secunda,0
Ceratochloa unioloides,3
Ceratochloa willdenowii,0
Ceratoxalis coloradensis,0
Ceratoxalis cymosa,0
Ceratoxalis stricta,0
Cerbera linearifolia,0
Cerbera peruviana,0
Cerbera thevetia,0
Cestrum foetidissimum,2
Cestrum hirtellum,0
Cestrum leucocarpum,1
Cestrum multiflorum,0
Cestrum nocturnum var. mexicanum,1
Cestrum propinquum,0
Cestrum spicatum,0
Cestrum suberosum,0
Cestrum viride,1
Cestrum yucatanense,1
Chamaemelum leucanthemum,0
Chamaesyce glomerifera,18
Chamaesyce humistrata,27
Chamaesyce hypericifolia,251
Chamaesyce lasiocarpa,210
Chamaesyce maculata,1650
Chamaesyce mathewsii,2
Chamaesyce supina,1
Chamaesyce tracyi,1
Chasea dichotoma,0
Chenopodium album forma cymigerum,0
Chenopodium album forma dubium,0
Chenopodium album forma glomerulosum,3
Chenopodium album forma grandifolium,0
Chenopodium album forma lanceolatum,0
Chenopodium album forma linneanum,0
Chenopodium album forma spicatum,0
Chenopodium album forma viridiforme,0
Chenopodium album subforma corymbosodentatum,0
Chenopodium album subforma corymbosolanceolatum,0
Chenopodium album subforma cymigerum,1
Chenopodium album subforma dubium,0
Chenopodium album subforma glomerulosum,3
Chenopodium album subforma medium,0
Chenopodium album subforma ovalifolium,0
Chenopodium album subforma paucidens,0
Chenopodium album subforma thyrsoideum,0
Chenopodium album subsp. amaranticolor,10
Chenopodium album subsp. eualbum,0
Chenopodium album subsp. fallax,0
Chenopodium album subsp. lanceolatum,2
Chenopodium album subvar. cymigerum,1
Chenopodium album var. albofarinosum,0
Chenopodium album var. borbasii,0
Chenopodium album var. candicans,0
Chenopodium album var. commune,0
Chenopodium album var. cymigerum,1
Chenopodium album var. dacoticum,0
Chenopodium album var. eualbum,0
Chenopodium album var. glomerulosum,0
Chenopodium album var. integrum,0
Chenopodium album var. lanceolatum,33
Chenopodium album var. melanocarpum,0
Chenopodium album var. microphyllum,1
Chenopodium album var. missouriense,548
Chenopodium album var. myriostachyum,0
Chenopodium album var. paniculatum,0
Chenopodium album var. polymorphum,0
Chenopodium album var. spicatum,5
Chenopodium album var. stevensii,1
Chenopodium album var. typicum,0
Chenopodium album var. viride,4
Chenopodium album var. vulgare,0
Chenopodium amaranticolor,10
Chenopodium borbasii,93
Chenopodium candicans,0
Chenopodium giganteum,527
Chenopodium glomerulosum,0
Chenopodium hookerianum,0
Chenopodium lanceolatum,20
Chenopodium leiospermum,0
Chenopodium leiospermum var. album,0
Chenopodium missouriense,427
Chenopodium missouriense var. bushianum,0
Chenopodium pumilio,1735
Chenopodium standleyanum,237
Chenopodium viride,8
Chenopodium viride forma lanceolatum,0
Chiococca nocturna,0
Chloris arundinacea,0
Chloris barbata var. divaricata,0
Chloris barbata var. normalis,0
Chloris dandyana,40
Chloris inflata,199
Chloris longifolia,0
Chloris paraguaiensis,5
Chloris polydactyla,0
Chloris rufescens,187
Chlorocharis vivipara,0
Chlorocyperus abyssinicus,0
Chlorocyperus flavescens,2
Chlorocyperus iria,0
Chrysanthemum adustum,0
Chrysanthemum adustum subsp. margaritae,0
Chrysanthemum affine,0
Chrysanthemum auriculatum,0
Chrysanthemum coronarium,3477
Chrysanthemum coronarium var. discolor,5
Chrysanthemum heterophyllum,3
Chrysanthemum ircutianum,0
Chrysanthemum lacustre,6
Chrysanthemum lanceolatum,0
Chrysanthemum leucanthemum,2497
Chrysanthemum leucanthemum forma affine,0
Chrysanthemum leucanthemum forma denudatum,0
Chrysanthemum leucanthemum forma discoideum,0
Chrysanthemum leucanthemum forma hispidum,0
Chrysanthemum leucanthemum forma meridionale,0
Chrysanthemum leucanthemum forma pallidum,0
Chrysanthemum leucanthemum subsp. crassifolium,0
Chrysanthemum leucanthemum subsp. cuneifolium,1
Chrysanthemum leucanthemum subsp. heterophyllum,1
Chrysanthemum leucanthemum subsp. lanceolatum,0
Chrysanthemum leucanthemum subsp. leucolepis,0
Chrysanthemum leucanthemum subsp. margaritae,0
Chrysanthemum leucanthemum subsp. maximum,0
Chrysanthemum leucanthemum subsp. saxicola,0
