Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid
Aptenia lancifolia	Aptenia lancifolia		1	Synonym	Mesembryanthemum lancifolium	(L.Bolus) Klak	Aizoaceae	tpl	 	
Aptenia lancifolia	Aptenia lancifolia		1	Accepted	Aptenia lancifolia	L. Bolus	Aizoaceae	tropicos	 	
Arceuthobium oxycedri	Arceuthobium oxycedri		1	Accepted	Arceuthobium oxycedri	(DC.) M.Bieb.	Santalaceae	tpl	 	
Arceuthobium oxycedri	Arceuthobium oxycedri		1	Accepted	Arceuthobium oxycedri	(DC.) M. Bieb.	Santalaceae	tropicos	 	
Arctotheca calendula	Arctotheca calendula		1	Accepted	Arctotheca calendula	(L.) Levyns	Asteraceae	gcc;tropicos;usda	 	urn:lsid:compositae.org:names:EB997747-B062-46AF-8703-52D4878C6474
Areca catechu	Areca catechu		1	Accepted	Areca catechu	L.	Arecaceae	tpl;tropicos;usda	 	
Areca catechu	Areca catechu		1	Illegitimate				tropicos	 	
Arenaria montana	Arenaria montana		1	Accepted	Arenaria montana	L.	Caryophyllaceae	tpl;usda	 	
Arenaria montana	Arenaria montana		1	Synonym	Arenaria macrocalyx	Tausch	Caryophyllaceae	tpl	 	
Arenaria montana	Arenaria montana		1	Synonym	Alsinanthus montanus	(L.) Desv.	Caryophyllaceae	tropicos	 	
Arenaria montana	Arenaria montana		1	No opinion		Tausch	Caryophyllaceae	tropicos	 	
Arenga pinnata	Arenga pinnata		1	Accepted	Arenga pinnata	(Wurmb) Merr.	Arecaceae	tpl;tropicos;usda	 	
Argemone ochroleuca	Argemone ochroleuca		1	Accepted	Argemone ochroleuca	Sweet	Papaveraceae	tpl;tropicos;usda	 	
Arrhenatherum elatius	Arrhenatherum elatius		1	Accepted	Arrhenatherum elatius	(L.) P.Beauv. ex J.Presl & C.Presl.	Poaceae	tpl	 	
Arrhenatherum elatius	Arrhenatherum elatius		1	Accepted	Arrhenatherum elatius	(L.) P. Beauv. ex J. Presl & C. Presl	Poaceae	tropicos;usda	 	
Arrhenatherum elatius	Arrhenatherum elatius		1	Invalid				tropicos	 	
Artemisia vulgaris	Artemisia vulgaris		1	No opinion				tpl	 	
Artemisia vulgaris	Artemisia vulgaris		1	Accepted	Artemisia vulgaris	L.	Asteraceae	gcc;tropicos;usda	 	urn:lsid:compositae.org:names:E982E2D5-0F9F-4AA2-B048-65F13E88CE6E
Artemisia vulgaris	Artemisia vulgaris		1	Illegitimate	Artemisia indica	Willd.	Asteraceae	gcc	 	urn:lsid:compositae.org:names:FD2ACFB5-EC83-43EF-8AA6-F842F1BA96BC
Artemisia vulgaris	Artemisia vulgaris		1	Synonym	Artemisia ludoviciana	Nutt.	Asteraceae	tropicos	 	
Artemisia vulgaris	Artemisia vulgaris		1	Illegitimate				tropicos	 	
Artocarpus heterophyllus	Artocarpus heterophyllus		1	Accepted	Artocarpus heterophyllus	Lam.	Moraceae	tpl;tropicos;usda	 	
Astragalus crenatus	Astragalus crenatus		1	Accepted	Astragalus crenatus	Schult.	Fabaceae	ildis	 	
Astragalus crenatus	Astragalus crenatus		1	No opinion		Schult.	Fabaceae	tropicos	 	
Atriplex semibaccata	Atriplex semibaccata		1	Accepted	Atriplex semibaccata	R.Br.	Amaranthaceae	tpl	 	
Atriplex semibaccata	Atriplex semibaccata		1	No opinion				tpl	 	
Atriplex semibaccata	Atriplex semibaccata		1	Accepted	Atriplex semibaccata	R. Br.	Amaranthaceae	tropicos;usda	 	
Avena barbata	Avena barbata		1	Accepted	Avena barbata	Pott ex Link	Poaceae	tpl;tropicos;usda	 	
Avena barbata	Avena barbata		1	No opinion				tpl	 [Ambiguous match] 	
Avena barbata	Avena barbata		1	Illegitimate				tropicos	 [Ambiguous match] 	
Avena barbata	Avena barbata		1	Illegitimate				tropicos	 [Ambiguous match] 	
Avena clauda	Avena clauda		1	Accepted	Avena clauda	Durieu	Poaceae	tpl;tropicos	 	
Avena eriantha	Avena eriantha		1	Accepted	Avena eriantha	Durieu	Poaceae	tpl;tropicos	 	
Avena eriantha	Avena eriantha		1	Synonym	Arrhenatherum album	(Vahl) Clayton	Poaceae	tpl	 	
Avena eriantha	Avena eriantha		1	Illegitimate				tropicos	 	
Avena fatua	Avena fatua		1	Accepted	Avena fatua	L.	Poaceae	tpl;tropicos;usda	 	
Avena sterilis	Avena sterilis		1	Accepted	Avena sterilis	L.	Poaceae	tpl;tropicos;usda	 	
Avena sterilis	Avena sterilis		1	Synonym	Avena fatua	L.	Poaceae	tpl	 	
Avena sterilis	Avena sterilis		1	Illegitimate				tropicos	 	
Avena sterilis	Avena sterilis		1	Invalid		L.	Poaceae	tropicos	 	
Azolla pinnata	Azolla pinnata		1	Accepted	Azolla pinnata	R. Br.	Salviniaceae	tpl;tropicos;usda	 	
Balanites aegyptiaca	Balanites aegyptiaca		1	Accepted	Balanites aegyptiaca	(L.) Delile	Zygophyllaceae	tpl	 	
Balanites aegyptiaca	Balanites aegyptiaca		1	Synonym	Balanites aegyptiacus	(L.) Delile	Zygophyllaceae	usda	 	
Bambusa bambos	Bambusa bambos		1	Accepted	Bambusa bambos	(L.) Voss	Poaceae	tpl;tropicos	 	
Bambusa bambos	Bambusa bambos		1	Illegitimate				tropicos	 [Ambiguous match] 	
Bambusa bambos	Bambusa bambos		1	Illegitimate				tropicos	 [Ambiguous match] 	
