Passiflora tripartita var. mollissima
Pastinaca sativa
Pelargonium inquinans
Pelargonium odoratissimum
Pelargonium peltatum
Pelargonium zonale
Pennisetum clandestinum
Pennisetum macrourum
Pereskia aculeata
Persicaria chinensis
Petrorhagia prolifera
Phalaris aquatica
Phalaris arundinacea
Phormium tenax
Phragmites karka
Physalis peruviana
Phytolacca americana
Pimenta dioica
Pinus caribaea
Pinus halepensis
Pinus oocarpa
Pinus patula
Pinus pinaster
Pinus radiata
Pittosporum undulatum
Plantago coronopus
Plectranthus scutellarioides
Poa compressa
Poa nemoralis
Podranea ricasoliana
Polygonum arenastrum
Polygonum capitatum
Polygonum lapathifolium
Polygonum nepalense
Polysiphonia brodiei
Polysiphonia fucoides
Portulaca quadrifida
Potentilla supina
Prosopis glandulosa
Prosopis juliflora
Prosopis pallida
Prosopis velutina
Pueraria phaseoloides
Ranunculus sardous
Rauvolfia caffra
Reseda alba
Reseda luteola
Retama monosperma
Rhamnus cathartica
Rhamphicarpa fistulosa
Rhaponticum repens
Rhus longipes
Rhynchosia caribaea
Richardia brasiliensis
Robinia pseudoacacia
Rosmarinus officinalis
Roystonea oleracea
Rubus alceifolius
Rubus armeniacus
Rubus flagellaris
Rubus fruticosus
Rubus rosifolius
Rubus ulmifolius
Rumex bucephalophorus
Rumex conglomeratus
Rumex lunaria
Rumex vesicarius
Sagittaria guyanensis
Salix fragilis
Salsola soda
Salsola vermiculata
Salvia viridis
Sambucus nigra
Schismus barbatus
Scilla peruviana
Scirpus juncoides
Scirpus maritimus
Scolymus maculatus
Scorpiurus muricatus
Scrophularia auriculata
Scrophularia canina
Secale cereale
Securigera securidaca
Senecio elegans
Senecio glastifolius
Senecio inaequidens
Senecio jacobaea
Senecio madagascariensis
Senecio pterophorus
Senna bicapsularis
Senna didymobotrya
Senna hirsuta
Sesbania cannabina
Sesbania sesban
Sida linifolia
Sida repens
Sideritis montana
Silene latifolia subsp. alba
Silene vulgaris
Silybum marianum
Sinapis arvensis
Solanum campylacanthum
Solanum mammosum
Solanum nigrum
Solanum rostratum
Solanum tuberosum
Sonchus arvensis
Spartina densiflora
Spartium junceum
Spergularia marina
Spergularia rubra
Sphenoclea zeylanica
Sporobolus africanus
Stachys arvensis
Stachys officinalis
Stachytarpheta indica
