Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Cirsium arvense,Cirsium,,arvense,NA,NA,,,gcc-106632,TRUE,1.1,Accepted,Compositae,Cirsium,,arvense,,,(L.) Scop.,gcc-106632,Accepted,FALSE,FALSE,FALSE,8/3/21
Tripleurospermum inodorum,Tripleurospermum,,inodorum,NA,NA,,,gcc-113650,TRUE,1.1,Accepted,Compositae,Tripleurospermum,,inodorum,,,(L.) Sch.Bip.,gcc-113650,Accepted,FALSE,FALSE,FALSE,8/3/21
Plantago coronopus,Plantago,,coronopus,NA,NA,,,kew-2571444,TRUE,1.1,Accepted,Plantaginaceae,Plantago,,coronopus,,,L.,kew-2571444,Accepted,FALSE,FALSE,FALSE,8/3/21
Symphytum officinale,Symphytum,,officinale,NA,NA,,,kew-2475636,TRUE,1.1,Accepted,Boraginaceae,Symphytum,,officinale,,,L.,kew-2475636,Accepted,FALSE,FALSE,FALSE,8/3/21
Anthoxanthum odoratum,Anthoxanthum,,odoratum,NA,NA,,,kew-394021,TRUE,1.1,Accepted,Poaceae,Anthoxanthum,,odoratum,,,L.,kew-394021,Accepted,FALSE,FALSE,FALSE,8/3/21
Alopecurus myosuroides,Alopecurus,,myosuroides,NA,NA,,,kew-391472,TRUE,1.1,Accepted,Poaceae,Alopecurus,,myosuroides,,,Huds.,kew-391472,Accepted,FALSE,FALSE,FALSE,8/3/21
Clematis vitalba,Clematis,,vitalba,NA,NA,,,kew-2726964,TRUE,1.1,Accepted,Ranunculaceae,Clematis,,vitalba,,,L.,kew-2726964,Accepted,FALSE,FALSE,FALSE,8/3/21
Myosotis scorpioides,Myosotis,,scorpioides,NA,NA,,,kew-2358330,TRUE,1.1,Accepted,Boraginaceae,Myosotis,,scorpioides,,,L.,kew-2358330,Accepted,FALSE,FALSE,FALSE,8/3/21
Crataegus monogyna,Crataegus,,monogyna,NA,NA,,,rjp-49,TRUE,1.1,Accepted,Rosaceae,Crataegus,,monogyna,,,Jacq.,rjp-49,Accepted,FALSE,FALSE,FALSE,8/3/21
Tanacetum vulgare,Tanacetum,,vulgare,NA,NA,,,gcc-76001,TRUE,1.1,Accepted,Compositae,Tanacetum,,vulgare,,,L.,gcc-76001,Accepted,FALSE,FALSE,FALSE,8/3/21
Pinus pinaster,Pinus,,pinaster,NA,NA,,,kew-2562572,TRUE,1.1,Accepted,Pinaceae,Pinus,,pinaster,,,Aiton,kew-2562572,Accepted,FALSE,FALSE,FALSE,8/3/21
Ulex europaeus,Ulex,,europaeus,NA,NA,,,ild-8476,TRUE,1.1,Accepted,Leguminosae,Ulex,,europaeus,,,L.,ild-8476,Accepted,FALSE,FALSE,FALSE,8/3/21
Miconia calvescens,Miconia,,calvescens,NA,NA,,,tro-20300144,TRUE,1.1,Accepted,Melastomataceae,Miconia,,calvescens,,,DC.,tro-20300144,Accepted,FALSE,FALSE,FALSE,8/3/21
Geranium robertianum,Geranium,,robertianum,NA,NA,,,kew-2823970,TRUE,1.1,Accepted,Geraniaceae,Geranium,,robertianum,,,L.,kew-2823970,Accepted,FALSE,FALSE,FALSE,8/3/21
Jacobaea vulgaris,Jacobaea,,vulgaris,NA,NA,,,gcc-130819,TRUE,1.1,Accepted,Compositae,Jacobaea,,vulgaris,,,Gaertn.,gcc-130819,Accepted,FALSE,FALSE,FALSE,8/3/21
Calystegia sepium spp. sepium,Calystegia,,sepium,NA,NA,spp.,sepium,tro-8500113,FALSE,1.1,Accepted,Convolvulaceae,Calystegia,,sepium,,,(L.) R. Br.,tro-8500113,Accepted,FALSE,FALSE,TRUE,8/3/21
Sonchus arvensis,Sonchus,,arvensis,NA,NA,,,gcc-48853,TRUE,1.1,Accepted,Compositae,Sonchus,,arvensis,,,L.,gcc-48853,Accepted,FALSE,FALSE,FALSE,8/3/21
Bromus hordeaceus,Bromus,,hordeaceus,NA,NA,,,kew-401143,TRUE,1.1,Accepted,Poaceae,Bromus,,hordeaceus,,,L.,kew-401143,Accepted,FALSE,FALSE,FALSE,8/3/21
Acer platanoides,Acer,,platanoides,NA,NA,,,kew-2616254,TRUE,1.1,Accepted,Sapindaceae,Acer,,platanoides,,,L.,kew-2616254,Accepted,FALSE,FALSE,FALSE,8/3/21
Vicia cracca,Vicia,,cracca,NA,NA,,,ild-9103,TRUE,1.1,Accepted,Leguminosae,Vicia,,cracca,,,L.,ild-9103,Accepted,FALSE,FALSE,FALSE,8/3/21
Bolboschoenus maritimus,Bolboschoenus,,maritimus,NA,NA,,,kew-221905,TRUE,1.1,Accepted,Cyperaceae,Bolboschoenus,,maritimus,,,(L.) Palla,kew-221905,Accepted,FALSE,FALSE,FALSE,8/3/21
Alnus glutinosa,Alnus,,glutinosa,NA,NA,,,kew-6364,TRUE,1.1,Accepted,Betulaceae,Alnus,,glutinosa,,,(L.) Gaertn.,kew-6364,Accepted,FALSE,FALSE,FALSE,8/3/21
Lamium galeobdolon,Lamium,,galeobdolon,NA,NA,,,kew-107452,TRUE,1.1,Accepted,Lamiaceae,Lamium,,galeobdolon,,,(L.) L.,kew-107452,Accepted,FALSE,FALSE,FALSE,8/3/21
