Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Polygonum alpinum,Polygonum,,alpinum,NA,NA,,,kew-2567507,TRUE,1.1,Synonym,Polygonaceae,Persicaria,,alpina,,,(All.) H.Gross,kew-2571978,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polygonum arenarium,Polygonum,,arenarium,NA,NA,,,kew-2572389,TRUE,1.1,Accepted,Polygonaceae,Polygonum,,arenarium,,,Waldst. & Kit.,kew-2572389,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polygonum bistorta,Polygonum,,bistorta,NA,NA,,,kew-2574619,TRUE,1.1,Synonym,Polygonaceae,Persicaria,,bistorta,,,(L.) Samp.,kew-2571994,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polygonum cognatum,Polygonum,,cognatum,NA,NA,,,kew-2574767,TRUE,1.1,Accepted,Polygonaceae,Polygonum,,cognatum,,,Meisn.,kew-2574767,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polypogon chilensis,Polypogon,,chilensis,NA,NA,,,kew-438038,TRUE,1.1,Accepted,Poaceae,Polypogon,,chilensis,,,(Kunth) Pilg.,kew-438038,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polypogon elongatus,Polypogon,,elongatus,NA,NA,,,kew-438047,TRUE,1.1,Accepted,Poaceae,Polypogon,,elongatus,,,Kunth,kew-438047,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polypogon imberbis,Polypogon,,imberbis,NA,NA,,,kew-438067,TRUE,1.1,Accepted,Poaceae,Polypogon,,imberbis,,,(Phil.) Johow,kew-438067,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polypogon maritimus,Polypogon,,maritimus,NA,NA,,,kew-438086,TRUE,1.1,Accepted,Poaceae,Polypogon,,maritimus,,,Willd.,kew-438086,Accepted,FALSE,FALSE,FALSE,2021-08-03
Potamogeton trichoides,Potamogeton,,trichoides,NA,NA,,,kew-308755,TRUE,1.1,Accepted,Potamogetonaceae,Potamogeton,,trichoides,,,Cham. & Schltdl.,kew-308755,Accepted,FALSE,FALSE,FALSE,2021-08-03
Potentilla goldbachii,Potentilla,,goldbachii,NA,NA,,,rjp-11144,TRUE,1.1,Synonym,Rosaceae,Potentilla,,thuringiaca,,,Bernh.,rjp-9588,Accepted,FALSE,FALSE,FALSE,2021-08-03
Potentilla intermedia,Potentilla,,intermedia,NA,NA,,,rjp-1271,TRUE,1.1,Accepted,Rosaceae,Potentilla,,intermedia,,,L.,rjp-1271,Accepted,FALSE,FALSE,FALSE,2021-08-03
Potentilla norvegica,Potentilla,,norvegica,NA,NA,,,rjp-17,TRUE,1.1,Accepted,Rosaceae,Potentilla,,norvegica,,,L.,rjp-17,Accepted,FALSE,FALSE,FALSE,2021-08-03
Potentilla rivalis,Potentilla,,rivalis,NA,NA,,,rjp-760,TRUE,1.1,Accepted,Rosaceae,Potentilla,,rivalis,,,Nutt. ex Torr. & A.Gray,rjp-760,Accepted,FALSE,FALSE,FALSE,2021-08-03
Primula juliae,Primula,,juliae,NA,NA,,,kew-2565597,TRUE,1.1,Unresolved,Primulaceae,Primula,,juliae,,,Kusn.,kew-2565597,Unresolved,FALSE,FALSE,FALSE,2021-08-03
Prunella laciniata,Prunella,,laciniata,NA,NA,,,kew-165975,TRUE,1.1,Accepted,Lamiaceae,Prunella,,laciniata,,,(L.) L.,kew-165975,Accepted,FALSE,FALSE,FALSE,2021-08-03
Ptilostemon afer,Ptilostemon,,afer,NA,NA,,,gcc-92387,TRUE,1.1,Accepted,Compositae,Ptilostemon,,afer,,,(Jacq.) Greuter,gcc-92387,Accepted,FALSE,FALSE,FALSE,2021-08-03
Ptychotis saxifraga,Ptychotis,,saxifraga,NA,NA,,,kew-2405589,TRUE,1.1,Accepted,Apiaceae,Ptychotis,,saxifraga,,,(L.) Loret & Barrandon,kew-2405589,Accepted,FALSE,FALSE,FALSE,2021-08-03
Puccinellia dolicholepis,Puccinellia,,dolicholepis,NA,NA,,,kew-438666,TRUE,1.1,Accepted,Poaceae,Puccinellia,,dolicholepis,,,(Krecz.) Pavlov,kew-438666,Accepted,FALSE,FALSE,FALSE,2021-08-03
Puccinellia gigantea,Puccinellia,,gigantea,NA,NA,,,kew-438701,TRUE,1.1,Accepted,Poaceae,Puccinellia,,gigantea,,,(Grossh.) Grossh.,kew-438701,Accepted,FALSE,FALSE,FALSE,2021-08-03
