acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new,words,jk_notes
Tripleurospermum inodorum,"Chamomilla inodora, Matricaria inodora, Matricaria maritima ssp. inodora, Matricaria maritima var. agrestis, Matricaria perforata, Tripleurospermum inodorum, Tripleurospermum perforata",ITIS,1,0,0,0,1,1,194497,170377,2,
Glyceria maxima,"Catabrosa hydrophila, Exydra aquatica, Festuca aquatica, Glyceria altissima, Glyceria aquatica, Glyceria maxima, Glyceria spectabilis, Heleochloa aquatica, Hydropoa spectabilis, Molinia maxima, Panicularia aquatica, Poa aquatica",ITIS,1,0,0,0,1,1,184632,211130,2,
Persicaria hydropiper,"Persicaria hydropiper, Polygonum hydropiper, Polygonum hydropiper var. projectum",ITIS,1,0,0,0,1,1,183232,133511,2,
Achillea ptarmica,,ITIS,1,0,0,0,1,1,179967,172529,2,
Sonchus arvensis,,ITIS,1,0,0,0,1,1,175885,138866,2,
Juncus inflexus,"Juncus glaucus, Juncus inflexus",TNRS,1,0,0,0,1,1,165235,172777,2,
Acer platanoides,"Acer platanoides, Acer platanoides var. schwedleri",ITIS,1,0,0,0,1,1,163732,477030,2,
Stachys officinalis,"Betonica officinalis, Stachys officinalis",ITIS,1,0,0,0,1,1,158588,67855,2,
Impatiens glandulifera,"Impatiens glandulifera, Impatiens roylei",ITIS,1,0,0,0,1,1,156662,272073,2,
Danthonia decumbens,"Bromus decumbens, Danthonia decumbens, Festuca decumbens, Melica decumbens, Poa decumbens, Sieglingia decumbens, Triodia decumbens",ITIS,1,0,0,0,1,1,150168,156578,2,
Veronica serpyllifolia,"Veronica humifusa, Veronica serpyllifolia, Veronica serpyllifolia ssp. humifusa, Veronica serpyllifolia ssp. serpyllifolia, Veronica serpyllifolia var. borealis, Veronica serpyllifolia var. humifusa, Veronica serpyllifolia var. nummularioides, Veronica tenella, Veronicastrum serpyllifolium, Veronicastrum serpyllifolium ssp. humifusum",ITIS,1,0,0,0,1,1,145066,179556,2,
Ulex europaeus,,ITIS,1,0,0,0,1,1,142526,168868,2,
Torilis japonica,,ITIS,1,0,0,0,1,1,139876,131374,2,
Trifolium medium,"Trifolium medium, Trifolium medium var. sarosiense",ITIS,1,0,0,0,1,1,134121,144943,2,
Gnaphalium uliginosum,"Filaginella ulginosa, Filaginella uliginosa, Gnaphalium uliginosum",ITIS,1,0,0,0,1,1,133376,139390,2,
Thymus pulegioides,"Thymus pulegioides, Thymus serpyllum ssp. chamaedrys, Thymus serpyllum var. albus",ITIS,1,0,0,0,1,1,131971,102428,2,
Eucalyptus globulus,,ITIS,1,0,0,0,1,1,131326,18122,2,
Pulicaria dysenterica,"Inula dysenterica, Pulicaria dysenterica",ITIS,1,0,0,0,1,1,119647,120152,2,
Primula elatior,,ITIS,1,0,0,0,1,1,118741,18535,2,
Lupinus polyphyllus,,ITIS,1,0,0,0,1,1,111039,135373,2,
Ehrharta stipoides,"Ehrharta stipoides, Microlaena stipoides",ITIS,1,0,0,0,1,1,109710,17296,2,
Potamogeton natans,,ITIS,1,0,0,0,1,1,107500,120644,2,
Helminthotheca echioides,"Helminthotheca echioides, Picris echioides",ITIS,1,0,0,0,1,1,105080,93323,2,
Malva sylvestris,"Malva mauritiana, Malva sylvestris, Malva sylvestris ssp. mauritiana, Malva sylvestris var. mauritiana",ITIS,1,0,0,0,1,1,100727,156962,2,
