acc_name,selected,synonyms,naturalized,weedy,fed_nox,fl_nox,occurrences,occurrences_new,Atlas,climate,acc_name_source
Rumex acetosa,1,"Acetosa alpestris, Acetosa pratensis ssp. alpestris, Rumex acetosa, Rumex acetosa ssp. acetosa, Rumex acetosa ssp. alpestris, Rumex acetosa ssp. ambiguus, Rumex acetosa ssp. arifolius, Rumex alpestris",1,1,0,0,606224,722092,0,1,ITIS
Rumex conglomeratus,1,Rumex conglomeratus,1,1,0,0,97352,100239,0,1,ITIS
Salix cinerea,1,"Salix cinerea, Salix cinerea ssp. cinerea",1,1,0,0,260589,648672,0,1,ITIS
Salix fragilis,1,Salix fragilis,1,1,0,0,71717,52001,0,1,ITIS
Sambucus nigra,1,Sambucus nigra,1,1,0,0,487287,590207,0,1,ITIS
Sanguisorba officinalis,1,"Poterium officinale, Sanguisorba microcephala, Sanguisorba officinalis, Sanguisorba officinalis ssp. microcephala, Sanguisorba officinalis var. polygama",1,1,0,0,100458,110553,0,1,ITIS
Scrophularia auriculata,1,Scrophularia auriculata,1,1,0,0,72582,76925,0,1,ITIS
Senecio sylvaticus,1,"Senecio sylvatica, Senecio sylvaticus",1,1,0,0,80270,158766,0,1,ITIS
Silene vulgaris,1,"Oberna commutata, Silene cucubalus, Silene inflata, Silene latifolia, Silene vulgaris",1,1,0,0,386278,641493,0,1,ITIS
Solidago canadensis,1,Solidago canadensis,1,1,0,0,82801,108447,0,1,ITIS
Sonchus arvensis,1,Sonchus arvensis,1,1,0,0,175885,138866,0,1,ITIS
Spergularia rubra,1,"Spergularia rubra, Spergularia rubra var. perennans, Tissa rubra",1,1,0,0,80309,62912,0,1,ITIS
Symphytum officinale,1,"Symphytum officinale, Symphytum officinale ssp. uliginosum, Symphytum officinale var. officinale, Symphytum uliginosum",1,1,0,0,209629,224321,0,1,ITIS
Tanacetum vulgare,1,"Chrysanthemum vulgare, Tanacetum boreale, Tanacetum vulgare, Tanacetum vulgare var. crispum",1,1,0,0,226946,252335,0,1,ITIS
Thymus pulegioides,1,"Thymus pulegioides, Thymus serpyllum ssp. chamaedrys, Thymus serpyllum var. albus",1,1,0,0,131971,102428,0,1,ITIS
Torilis japonica,1,Torilis japonica,1,1,0,0,139876,131374,0,1,ITIS
Trifolium medium,1,"Trifolium medium, Trifolium medium var. sarosiense",1,1,0,0,134121,144943,0,1,ITIS
Tripleurospermum inodorum,1,"Chamomilla inodora, Matricaria inodora, Matricaria maritima ssp. inodora, Matricaria maritima var. agrestis, Matricaria perforata, Tripleurospermum inodorum, Tripleurospermum perforata",1,1,0,0,194497,170377,0,1,ITIS
Ulex europaeus,1,Ulex europaeus,1,1,0,0,142526,168868,0,1,ITIS
Veronica chamaedrys,1,Veronica chamaedrys,1,1,0,0,360373,442316,0,1,ITIS
Veronica serpyllifolia,1,"Veronica humifusa, Veronica serpyllifolia, Veronica serpyllifolia ssp. humifusa, Veronica serpyllifolia ssp. serpyllifolia, Veronica serpyllifolia var. borealis, Veronica serpyllifolia var. humifusa, Veronica serpyllifolia var. nummularioides, Veronica tenella, Veronicastrum serpyllifolium, Veronicastrum serpyllifolium ssp. humifusum",1,1,0,0,145066,179556,0,1,ITIS
Vicia cracca,1,"Vicia cracca, Vicia cracca ssp. cracca, Vicia cracca ssp. grossheimii, Vicia cracca ssp. incana, Vicia cracca ssp. stenophylla, Vicia cracca ssp. tenuifolia, Vicia cracca var. tenuifolia, Vicia dalmatica, Vicia elegans, Vicia incana, Vicia semicincta, Vicia tenuifolia",1,1,0,0,376405,451832,0,1,ITIS
Vicia sepium,1,Vicia sepium,1,1,0,0,256952,278608,0,1,ITIS
Abelmoschus moschatus,0,"Abelmoschus moschatus, Hibiscus abelmoschus, Laguna abelmoschus",1,1,0,0,1648,994,0,1,ITIS
Abutilon grandifolium,0,"Abutilon arnottianum, Abutilon grandifolium, Abutilon molle, Sida arnottiana, Sida grandifolia, Sida mollis",1,1,0,0,534,577,1,1,Atlas
Abutilon indicum,0,Abutilon indicum,1,1,0,0,1387,589,0,1,ITIS
Acacia colei,0,Acacia colei,1,0,0,0,1144,301,0,1,TNRS
Acacia crassicarpa,0,Acacia crassicarpa,1,1,0,0,1107,825,0,1,TNRS
Acacia cyclops,0,Acacia cyclops,1,1,0,0,1977,1945,0,1,ITIS
Acacia dealbata,0,"Acacia dealbata, Acacia decurrens var. dealbata",1,1,0,0,31647,29500,0,1,ITIS
Acacia decurrens,0,"Acacia decurrens, Acacia decurrens var. decurrens",1,1,0,0,3845,16969,0,1,ITIS
Acacia glauca,0,"Acacia glauca, Acacia villosa",1,1,0,0,1,155,0,1,ITIS
Acacia karroo,0,Acacia karroo,1,1,0,0,1045,1037,0,1,ITIS
Acacia longifolia,0,"Acacia longifolia, Acacia longifolia ssp. sophorae, Acacia sophorae",1,1,0,0,23596,17861,0,1,ITIS
Acacia mearnsii,0,"Acacia decurrens var. mollis, Acacia mearnsii",1,1,0,0,17643,19507,0,1,ITIS
Acacia melanoxylon,0,"Acacia melanoxylon, Racosperma melanoxylon",1,1,0,0,39863,38584,0,1,ITIS
Acacia mellifera,0,"Acacia detinens, Acacia mellifera, Acacia mellifera ssp. detinens",0,1,0,0,80,717,0,1,ITIS
Acacia saligna,0,"Acacia cyanophylla, Acacia saligna, Mimosa saligna, Racosperma salignum",1,1,0,0,5338,6058,1,1,Atlas
Acacia verticillata,0,Acacia verticillata,1,1,0,0,12787,5318,0,1,ITIS
Acer rufinerve,0,Acer rufinerve,1,1,0,0,1599,1942,0,1,TNRS
Achillea alpina,0,"Achillea alpina, Achillea multiflora, Achillea punctata, Achillea sibirica",0,1,0,0,0,547,0,1,TNRS
Achillea biebersteinii,0,Achillea biebersteinii,0,1,0,0,125,104,0,1,TNRS
Achillea millefolium subsp. stricta,0,"Achillea millefolium subsp. stricta, Achillea stricta",0,1,0,0,0,165,0,0,TNRS
Achillea pannonica,0,Achillea pannonica,0,1,0,0,1300,850,0,1,ITIS
Achnatherum hymenoides,0,"Achnatherum hymenoides, Eriocoma cuspidata, Eriocoma hymenoides, Eriocoma membranacea, Fendleria rhynchelytroides, Milium cuspidatum, Oryzopsis cuspidata, Oryzopsis hymenoides, Oryzopsis hymenoides var. hymenoides, Oryzopsis membranacea, Stipa hymenoides, Stipa membranacea, Urachne lanata",1,1,0,0,3125,4159,0,1,ITIS
Achnatherum splendens,0,"Achnatherum splendens, Stipa schlagintweitii, Stipa splendens",1,1,0,0,536,441,0,0,ITIS
Achyranthes japonica,0,Achyranthes japonica,0,1,0,0,877,1244,0,1,ITIS
Acmella uliginosa,0,"Acmella uliginosa, Spilanthes uliginosa, Spilanthes uligonosa",1,1,0,0,509,617,0,1,ITIS
Acmispon americanus var. americanus,0,"Acmispon americanus var. americanus, Hosackia americana, Lotus americanus, Lotus purshianus, Lotus purshianus var. glaber, Lotus sericeus, Lotus unifoliolatus, Lotus unifoliolatus var. unifoliolatus",0,1,0,0,1115,1882,0,1,ITIS
Aconitum lycoctonum,0,"Aconitum lycoctonum, Aconitum septentrionale",1,1,0,0,29986,25754,0,1,ITIS
Aconogonon alpinum,0,"Aconogonon alpinum, Aconogonum alpinum, Pleuropteropyrum alpinum, Polygonum alpinum",0,1,0,0,558,1064,0,1,ITIS
Acrocarpus fraxinifolius,0,Acrocarpus fraxinifolius,1,0,0,0,125,89,0,1,TNRS
Actinoscirpus grossus,0,"Actinoscirpus grossus, Scirpus grossus",0,1,0,0,348,202,0,1,TNRS
Adenocaulon himalaicum,0,"Adenocaulon adhaerescens, Adenocaulon himalaicum",1,0,0,0,980,1395,0,1,TNRS
Adenostoma fasciculatum,0,Adenostoma fasciculatum,0,1,0,0,4085,4511,0,1,ITIS
Adiantum raddianum,0,"Adiantum cuneatum, Adiantum raddianum",1,1,0,0,1947,2112,0,1,ITIS
Aegilops cylindrica,0,"Aegilops caudata ssp. cylindrica, Aegilops cylindrica, Aegilops cylindrica ssp. aristulata, Aegilops cylindrica ssp. pauciaristata, Aegilops cylindrica var. albescens, Aegilops cylindrica var. aristulata, Aegilops cylindrica var. brunnea, Aegilops cylindrica var. ferruginea, Aegilops cylindrica var. flavescens, Aegilops cylindrica var. fuliginosa, Aegilops cylindrica var. kastorianum, Aegilops cylindrica var. multiaristata, Aegilops cylindrica var. pauciaristata, Aegilops cylindrica var. prokhanovii, Aegilops cylindrica var. rubiginosa, Aegilops cylindrica var. rumelica, Aegilops tauschii, Cylindropyrum cylindricum, Cylindropyrum cylindricum ssp. cylindricum, Cylindropyrum cylindricum ssp. pauciaristatum, Triticum cylindricum",1,1,0,0,3487,3671,0,1,ITIS
