Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring countries/states,Number of presence records countries/states with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Penicillium notatum,storage rot of cereals,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,,9,0,6,8,no data,no data,no data,https://www.cabi.org/cpc/datasheet/39564
Penicillium oxalicum,root rot: Sorghum spp.,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,,17,0,10,8,no data,no data,no data,https://www.cabi.org/cpc/datasheet/39583
Penicillium ulaiense,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,,2,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/110113
Pennisetum clandestinum,Kikuyu grass,Plants,Full datasheet,Full datasheet,"pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,104,0,80,14,,,,https://www.cabi.org/cpc/datasheet/39765; https://www.cabi.org/isc/datasheet/39765
Pennisetum macrourum,African feather grass,Plants,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,40,0,24,1,,,no data,https://www.cabi.org/cpc/datasheet/39768; https://www.cabi.org/isc/datasheet/39768
Pentastiridius leporinus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cixiidae,,39,0,13,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/119964
Penthaleus major,blue oat mite,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Penthaleidae,,47,0,32,13,no data,no data,no data,https://www.cabi.org/cpc/datasheet/39610
Pepo aphid-borne yellows virus,,Viruses,,Basic datasheet,pest,Virus,,,,,Luteoviridae,,2,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/121876
Pepper veinal mottle virus,,Viruses,,Full datasheet,pest,Virus,,,,,Potyviridae,,23,0,22,13,no data,,no data,https://www.cabi.org/cpc/datasheet/43831
Pepper yellow vein Mali virus,,Viruses,,Basic datasheet,pest,Virus,,,,,Geminiviridae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/121001
Perca fluviatilis,perch,Vertebrates,Full datasheet,,"invasiveSpecies,naturalEnemy,hostAnimal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,invasive,54,0,22,0,,no data,,https://www.cabi.org/isc/datasheet/70037
Percnon gibbesi,sally lightfoot crab,Invertebrates,Full datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Grapsidae,invasive,11,0,4,0,,no data,,https://www.cabi.org/isc/datasheet/108182
Pereskia aculeata,Lemon-vine,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Cactaceae,invasive,14,0,11,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/41750; https://www.cabi.org/isc/datasheet/41750
Periconia circinata,milo disease of Sorghum spp.,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,20,0,15,3,no data,,no data,https://www.cabi.org/cpc/datasheet/39647
Perilampsis woodi,,Invertebrates,Basic datasheet,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Tephritidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/119265
Perinereis nuntia,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Annelida,Polychaeta,Aciculata,Nereididae,invasive,1,0,0,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/116211
Peronosclerospora maydis,downy mildew of maize,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Chromista,Oomycota,Oomycetes,Sclerosporales,Sclerosporaceae,,22,0,18,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44640
Peronosclerospora philippinensis,Philippine downy mildew,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Chromista,Oomycota,Oomycetes,Sclerosporales,Sclerosporaceae,,16,0,13,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44646
Peronosclerospora sacchari,sugarcane downy mildew,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Chromista,Oomycota,Oomycetes,Sclerosporales,Sclerosporaceae,,29,0,15,2,no data,,no data,https://www.cabi.org/cpc/datasheet/44642
Peronosclerospora sorghi,sorghum downy mildew,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Chromista,Oomycota,Oomycetes,Sclerosporales,Sclerosporaceae,invasive,89,2,73,13,,,no data,https://www.cabi.org/cpc/datasheet/44643
Peronospora destructor,downy mildew of onion,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Chromista,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,,92,1,55,9,no data,,no data,https://www.cabi.org/cpc/datasheet/39701
