Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring countries/states,Number of presence records countries/states with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Lineodes cyclophora,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/30867
Liriomyza sorosis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Agromyzidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/30962
Lissorhoptrus brevirostris,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,1,0,1,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/30987
Lissorhoptrus isthmicus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,3,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/30988
Litostylus bovelli,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/31609
Litostylus pudens,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,3,0,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/31610
Litostylus strangulatus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,3,0,3,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/31611
Loberus testaceus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cryptophagidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/31140
Lobiopa insularis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,,3,0,2,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/30000
Longula malaca,,,,Basic datasheet,pest,,,,,,,,1,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/31280
Loxigilla noctis,brown sparrow,Vertebrates,,Basic datasheet,"pest,hostAnimal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Emberizidae,,3,0,3,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/76721
Lupinus plattensis,Nebraska lupine,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,9,0,6,0,no data,no data,,https://www.cabi.org/isc/datasheet/121881
Lygaeus collaris,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Lygaeidae,,9,0,9,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/31774
Macraspis tristis,june bug,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32768
Macroposthonia onoensis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Nematoda,,,Criconematidae,,2,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32844
Macroptilium yellow mosaic virus,,Viruses,,Basic datasheet,pest,Virus,,,,,Geminiviridae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/118131
Macropygium reticulare,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,,2,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32827
Macrosiphoniella sanborni,chrysanthemum aphid,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,18,0,9,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32144
Mainsia rubi,,Fungi/Chromista,Full datasheet,Full datasheet,"pest,documentedSpecies",Eukaryota,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Phragmidiaceae,,7,0,7,11,,,no data,https://www.cabi.org/cpc/datasheet/107847; https://www.cabi.org/isc/datasheet/107847
Marasmiellus mesosporus,,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/110119
Marasmius sacchari,basal stem rot of sugarcane,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,,9,0,8,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34928
Margarodes formicarium,ground pearl,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Margarodidae,,2,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32519
Megalotomus rufipes,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Alydidae,,2,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33758
Megastes grandalis,sweet potato moth,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,,10,0,10,1,no data,,no data,https://www.cabi.org/cpc/datasheet/33080
Megastes pusialis,sweet potato moth borer,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,,3,0,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33081
Megastigmus albifrons,Montezuma pine seed chalcid,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Torymidae,,18,0,8,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33098
Melalgus caribbeanus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Bostrichidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32347
Melanagromyza caerulea,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Agromyzidae,,2,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32994
Melanaspis obscura,"obscure, scale",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,,9,0,2,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33191
Melanerpes striatus,woodpecker,Vertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Chordata,Aves Picoides borealis,Piciformes,Picidae,,2,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/75600
Meliola clavulata,sooty mould of sweet potato,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Meliolales,Meliolaceae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34396
Melipotis famelica,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,2,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34441
Meloe americanus,buttercup oil beetle,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Meloidae,,3,0,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33224
Meloidogyne lopezi,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Nematoda,,,Meloidogynidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/121371
Meloidogyne paranaensis,Parana coffee root-knot nematode,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Nematoda,,,Meloidogynidae,,9,0,8,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33251
Membracis tectigera,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,,1,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33349
Menoetius curvipes,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,5,0,2,6,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34589
Metamasius dimidiatipennis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33574
Metamasius ritchiei,weevil borer,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33578
Metopia argyrocephala,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Sarcophagidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35086
Metriona propinqua,gold bug,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,3,0,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33678
Metrogaleruca obscura,,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,14,0,8,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33554
Microcerotermes arboreus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,7,0,6,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32783
Microcyclus ulei,South American leaf blight of rubber,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,invasive,37,0,36,1,no data,,no data,https://www.cabi.org/cpc/datasheet/33893; https://www.cabi.org/isc/datasheet/33893
Microthyris anormalis,sweet potato leaf roller,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,,9,0,6,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32916
Milichiella lacteipennis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Milichiidae,,4,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34147
Mimosa arenosa,elegant mimosa,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,18,0,18,0,,no data,,https://www.cabi.org/isc/datasheet/34178
Mimosa casta,graceful mimosa,Plants,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,19,0,19,0,,no data,,https://www.cabi.org/cpc/datasheet/119267; https://www.cabi.org/isc/datasheet/119267
Mimosa ceratonia,climbing mimosa,Plants,Full datasheet,Full datasheet,"pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,21,0,21,0,,no data,,https://www.cabi.org/cpc/datasheet/34186; https://www.cabi.org/isc/datasheet/34186
Monilia carbonaria,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,,2,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34745
Moniliophthora perniciosa,witches' broom disease of cacao,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,invasive,21,0,21,3,no data,,no data,https://www.cabi.org/cpc/datasheet/16054; https://www.cabi.org/isc/datasheet/16054
Moniliophthora roreri,frosty pod rot,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,invasive,19,0,14,3,,,,https://www.cabi.org/cpc/datasheet/34779; https://www.cabi.org/isc/datasheet/34779
Monomorium carbonarium subsp. ebenium,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34580
Mormidea guerini,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34861
Mormidea pictiventris,stinkbug,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,,5,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34862
Mormidea ypsilon,stinkbug,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,,4,0,4,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34863
Mycetaspis ailynaomi,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/118221
Mycetaspis personata,masked aspidiotus,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,,19,0,18,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/32885
Mycosphaerella eugeniae,leaf spot of clove,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35275
Mycosphaerella gossypina,cercospora leaf spot of cotton,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,,7,0,5,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35283
Myochrous armatus,"beetle, cane leaf or bud",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,5,0,2,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35473
Myochrous barbadensis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,1,0,1,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35474
Myrmelachista ambigua var. ramulorum,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/34965
Mythimna humidicola,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35590
Mythimna inconspicua,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,4,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35591
Mythimna latiuscula,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,13,0,10,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35592
Mythimna microgonia,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35594
Mythimna salita,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35597
Myzus hemerocallis,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,invasive,3,0,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/115712
Myzus ornatus,,Invertebrates,,Basic datasheet,"pest,vectorOfPlantPest",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,6,0,2,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35641
Nasutitermes arboreus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,2,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36692
Nasutitermes costalis,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,21,0,18,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36694
Nasutitermes ephratae,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,5,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36695
Nasutitermes nigriceps,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,13,0,6,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36697
Nasutitermes rippertii,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,3,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36701
Nematospora gossypii,boll stain of cotton,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Eremotheciaceae,,3,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36045
Neoclytus araneiformis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cerambycidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35792
Neoconocephalus maxillosus,longhorned grasshopper,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,3,0,3,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35795
Neoconocephalus triops,broad-tipped cone-head katydid,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,5,0,5,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35796
Neodiprion insularis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Diprionidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35828
Neoleucinodes elegantalis,eggplant stem borer,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,,31,0,30,8,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36117
Neosilba pendula,cassava shoot fly,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Lonchaeidae,,8,0,6,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/50032
Neotermes holmgreni,dry wood termite,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Kalotermitidae,,1,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36151
Nephrolepis hirsutula,Asian sword fern,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Pteridophyta,Filicopsida,,Nephrolepidaceae,invasive,1,0,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/119073
Nigrospora sacchari,scald,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Trichosphaeriales,,,2,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36297
Nyctelius nyctelius,sugarcane skipper,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,,10,0,10,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36757
Nysius tenellus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Lygaeidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/36787
Oebalus ornatus,rice stink bug,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,,5,0,4,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37080
Oebalus poecilus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,,10,0,9,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37081
Oecanthus allardi,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Gryllidae,,1,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37086
Oedionychus cinctus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37110
Oedionychus decimguttatus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37111
Oemanus ortygnus,soursop flowerworm,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37118
Oiketicus abotti,bagworm,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Psychidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37187
Oiketicus kirbyi,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Psychidae,,7,0,4,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37188
Oliarus maidis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cixiidae,,3,0,2,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37267
Oligonychus,sugarcane mite,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Tetranychidae,,2,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37268
Oligonychus milleri,pine mite,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Tetranychidae,,6,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37280
Oligonychus peruvianus,,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Tetranychidae,,13,0,8,12,no data,,no data,https://www.cabi.org/cpc/datasheet/37285
Oligonychus pratensis,spider mite,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Tetranychidae,,18,0,18,15,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37287
Oligonychus punicae,avocado brown mite,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Tetranychidae,,6,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37288
Omolicna cubana,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Derbidae,,1,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37374
Omoplata marginata,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,8,0,8,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37376
Oncideres amputator,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cerambycidae,,2,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37421
Oncometopia obtusa,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cicadellidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37356
Onthophagus belorhinus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,2,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37464
Ooencyrtus marcelloi,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Encyrtidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/109318
Opatrinus gemellatus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,2,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37706
Ophisternon aenigmaticum,obscure swamp eel,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,invasive,2,0,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/71978
Opuntia triacantha,prickly pear,Plants,,Basic datasheet,pest,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Cactaceae,,3,0,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37729
Orphulella punctata,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Acrididae,,10,0,7,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37916
Orthezia praelonga,croton bug,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Ortheziidae,,14,0,13,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/37940
Orthogeomys chirrie,,Vertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Geomyidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/38056
Orthorhyncus cristatus,Antillean crested hummingbird,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Aves,Apodiformes,Trochilidae,invasive,3,0,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/72242
Osmilia flavolineata,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Acrididae,,2,0,1,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/38007
Pachnaeus azurescens,citrus weevil,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,1,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/38401
Pachnaeus citri,"beetle, blue green orange",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/38402
Pachnaeus marmoratus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/38404
Pachnaeus psittacus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,2,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/38406
